time,x,y,z
1.2,-7.173359257,-6.783353078,25.9759946
1.21,-7.140199548,-6.867208805,25.77433512
1.22,-7.118787943,-6.963618352,25.58249264
1.23,-7.10916833,-7.071901467,25.40183181
1.24,-7.111314885,-7.191360605,25.23366372
1.25,-7.125136799,-7.321275098,25.07924945
1.26,-7.150481893,-7.460893294,24.93980206
1.27,-7.187139064,-7.609423037,24.81648678
1.28,-7.234839522,-7.766020879,24.71041906
1.29,-7.293256841,-7.92978044,24.62266045
1.3,-7.362005875,-8.099720364,24.55421178
1.31,-7.440640627,-8.274772351,24.50600379
1.32,-7.528651214,-8.453769814,24.47888474
1.33,-7.625460085,-8.635437752,24.4736052
1.34,-7.730417734,-8.818384507,24.49079974
1.35,-7.842798145,-9.001096137,24.53096583
1.36,-7.961794301,-9.181934188,24.59443997
1.37,-8.0865141,-9.359137698,24.68137168
1.38,-8.215977097,-9.530830257,24.79169563
1.39,-8.349112496,-9.695032944,24.92510309
1.4,-8.484758884,-9.849683832,25.08101342
1.41,-8.621666186,-9.992664638,25.25854721
1.42,-8.75850033,-10.12183479,25.45650248
1.43,-8.893851063,-10.23507289,25.67333571
1.44,-9.026243324,-10.33032518,25.90714979
1.45,-9.154152428,-10.40565992,26.1556906
1.46,-9.27602323,-10.45932628,26.41635425
1.47,-9.390293191,-10.48981566,26.68620648
1.48,-9.495419102,-10.49592277,26.96201539
1.49,-9.589906939,-10.47680336,27.24029803
1.5,-9.672344085,-10.43202539,27.51738051
1.51,-9.741432889,-10.36161014,27.78947051
1.52,-9.796024324,-10.26606,28.05274006
1.53,-9.83515034,-10.14637036,28.30341545
1.54,-9.858053417,-10.00402369,28.53787055
1.55,-9.86421183,-9.840964786,28.75271907
1.56,-9.853359269,-9.659557694,28.9449013
1.57,-9.825497652,-9.462525838,29.11176069
1.58,-9.780902323,-9.25287808,29.25110662
1.59,-9.720119185,-9.033824525,29.36126004
1.6,-9.643953777,-8.80868649,29.44108025
1.61,-9.553452733,-8.580805396,29.48997206
1.62,-9.449878469,-8.353455237,29.50787402
1.63,-9.334678301,-8.129762834,29.49522939
1.64,-9.209449428,-7.912639289,29.45294281
1.65,-9.07590137,-7.704725081,29.38232588
1.66,-8.935817472,-7.508350161,29.28503539
1.67,-8.79101702,-7.325509321,29.16300807
1.68,-8.64331933,-7.157852181,29.01839515
1.69,-8.49451095,-7.006686328,28.85349969
1.7,-8.346316846,-6.872991596,28.67071916
1.71,-8.200376126,-6.757443165,28.47249471
1.72,-8.058222602,-6.660441014,28.26126828
1.73,-7.921270219,-6.582143344,28.03944773
1.74,-7.790803148,-6.522501818,27.80938014
1.75,-7.667970192,-6.481296719,27.57333247
1.76,-7.553782999,-6.458170516,27.33347893
1.77,-7.449117514,-6.452658669,27.09189418
1.78,-7.354718059,-6.464216844,26.85055119
1.79,-7.271203415,-6.492244036,26.61132287
1.8,-7.19907432,-6.536101331,26.37598647
1.81,-7.138721826,-6.59512627,26.14622985
1.82,-7.090436013,-6.668642927,25.92365896
1.83,-7.054414641,-6.755967923,25.70980571
1.84,-7.030771364,-6.856412694,25.50613576
1.85,-7.019543209,-6.969282347,25.31405576
1.86,-7.02069709,-7.093871486,25.13491954
1.87,-7.034135166,-7.229457405,24.97003302
1.88,-7.059698937,-7.375291016,24.82065733
1.89,-7.097171989,-7.530585935,24.68801004
1.9,-7.14628137,-7.694506107,24.57326417
1.91,-7.206697597,-7.866152403,24.4775446
1.92,-7.278033365,-8.04454865,24.40192181
1.93,-7.359841034,-8.228627575,24.34740261
1.94,-7.451609039,-8.417217229,24.31491767
1.95,-7.552757394,-8.60902851,24.3053058
1.96,-7.662632527,-8.802644498,24.31929476
1.97,-7.780501702,-8.996512378,24.3574787
1.98,-7.905547362,-9.188938834,24.42029244
1.99,-8.036861789,-9.378089829,24.50798283
2,-8.17344249,-9.561995764,24.62057782
2.01,-8.314188819,-9.738562951,24.75785405
2.02,-8.457900351,-9.90559232,24.91930403
2.03,-8.603277577,-10.06080608,25.10410438
2.04,-8.74892547,-10.20188286,25.31108676
